Date,United States Oil Fund,United States 12 Month Oil Fund,VanEck Gold Miners,SPDR Gold Shares,iShares MSCI Global Gold Miners ETF,Global X Silver Miners ETF,iShares Silver Trust,Global X Copper Miners,First Trust Natural Gas ETF,Agriculture ETF,iShares MSCI Global Metals & Mining Producers ETF,VanEck Rare Earth and Strategic Metals ETF
2020-06-08,28.37,14.5,31.517,159.72,25.653,33.218,16.59,16.6031,9.61219,13.84,24.4129,36.308
2020-06-09,28.42,14.66,31.7854,161.26,26.1921,32.9587,16.42,16.4222,8.9267,13.85,24.1186,35.669
2020-06-10,28.43,14.73,33.1993,163.57,27.1902,34.8549,16.96,16.6119,8.27773,13.79,24.0714,35.04
2020-06-11,26.36,13.79,31.5642,162.39,25.9315,32.2645,16.44,15.193,7.50829,13.6,22.3322,32.494
2020-06-12,26.43,13.94,31.3813,162.62,25.7303,32.5537,16.28,15.6438,7.79573,13.61,22.9306,32.964
2020-06-15,26.98,14.22,32.218,162.33,26.3785,32.9966,16.23,15.6242,7.92562,13.53,22.894,32.08
2020-06-16,27.64,14.56,31.3813,162.25,25.7412,32.2176,16.26,15.814,8.08298,13.53,23.249,32.897
2020-06-17,27.28,14.33,31.5839,162.56,25.8373,32.3423,16.33,15.7201,7.75854,13.53,23.2028,32.916
2020-06-18,27.89,14.62,31.1808,162.24,25.5975,31.7358,16.21,15.634,7.76799,13.49,22.7901,32.625
2020-06-19,28.23,14.77,32.2574,164.03,26.5222,32.7083,16.49,15.7494,7.57324,13.49,22.4727,32.513
2020-06-22,28.98,15.14,33.5257,165.09,27.5539,34.2195,16.5,16.1093,7.55474,13.48,22.9402,32.644
2020-06-23,28.72,15.05,34.0065,166.48,27.989,34.8449,16.76,16.565,7.50829,13.5,23.324,32.532
2020-06-24,27.25,14.35,33.4018,165.9,27.5153,33.7277,16.28,16.0995,6.95221,13.395,22.567,32.428
2020-06-25,27.94,14.68,33.6122,165.8,27.7076,34.0838,16.59,16.4046,7.10159,13.42,22.9036,32.24
2020-06-26,27.36,14.37,33.8335,166.54,27.8532,34.1327,16.63,16.1856,6.69989,13.16,22.4727,31.508
2020-06-29,28.27,14.83,34.1894,166.63,28.2378,34.4708,16.65,16.3381,6.84938,13.35,22.6603,31.92
2020-06-30,28.06,14.74,35.266,167.37,29.1159,35.7745,17.01,16.8153,6.98951,13.505,22.9209,32.071
2020-07-01,28.35,14.87,35.151,166.62,28.9524,35.5431,16.82,16.873,6.83078,13.68,22.7718,32.428
2020-07-02,28.75,15.07,34.7754,166.98,28.7403,35.0025,16.71,17.0158,7.01755,13.63,23.1085,33.058
2020-07-06,28.96,15.195,35.4204,167.98,29.2983,35.6398,17.05,17.8735,6.99895,13.56,23.4442,35.632
2020-07-07,28.79,15.11,36.2758,169.04,30.0228,36.3161,17.01,17.7209,6.80263,13.61,23.2586,35.472
2020-07-08,29.18,15.28,37.4586,170.09,30.9485,37.939,17.49,18.1786,6.80263,13.66,23.753,36.637
2020-07-09,28.41,14.95,37.2954,169.63,30.7939,38.0646,17.38,18.4045,6.42879,13.71,23.6222,36.506
2020-07-10,29.03,15.24,36.9208,169.19,30.4182,38.1424,17.43,18.4367,6.64391,13.56,23.9127,36.487
2020-07-13,28.5,15.0,35.6986,169.4,29.4628,37.2248,17.73,18.7692,6.48498,13.44,23.9127,37.605
2020-07-14,28.88,15.19,37.1027,170.19,30.5035,38.316,17.97,18.8455,6.76534,13.39,24.4629,37.286
2020-07-15,29.29,15.39,37.1794,170.34,30.6403,39.0601,18.17,18.8846,7.01755,13.59,24.8188,36.929
2020-07-16,29.16,15.29,36.612,168.73,30.1378,38.2392,17.78,18.4837,6.96146,13.66,24.6043,35.942
2020-07-17,29.1,15.3,37.7949,170.12,31.1021,39.7563,18.01,18.7712,6.84012,13.71,24.8188,36.195
2020-07-20,29.12,15.3,38.8233,170.94,31.9218,41.6894,18.53,19.1418,6.83078,13.61,24.9776,37.784
2020-07-21,29.72,15.59,39.3336,173.0,32.2687,43.0708,19.67,19.2171,7.37279,13.57,24.8602,38.235
2020-07-22,29.75,15.62,40.1408,175.63,32.9337,45.1775,21.44,19.3804,7.26051,13.8,24.9958,37.972
2020-07-23,29.41,15.45,39.3808,177.18,32.3935,43.9695,21.03,19.3423,7.23256,13.73,24.7756,38.381
2020-07-24,29.44,15.51,40.2185,178.7,33.2806,45.3321,21.21,19.0939,7.18582,13.75,24.8285,37.596
2020-07-27,29.72,15.6599,42.1495,182.23,35.017,48.3084,22.83,19.6376,7.05485,13.87,25.5566,38.498
2020-07-28,29.35,15.48,41.8811,183.75,34.8049,47.5833,22.77,19.4567,6.93351,13.79,25.2681,38.808
2020-07-29,29.57,15.6,41.4682,185.13,34.3995,47.4576,22.57,19.5428,7.14843,13.91,25.5191,38.752
2020-07-30,28.93,15.29,40.0258,183.76,33.2142,45.748,21.76,18.9893,6.98951,13.96,25.0709,37.953
2020-07-31,29.07,15.38,41.2853,185.43,34.2737,46.7145,22.65,18.9042,6.94276,14.18,24.6601,37.643
2020-08-03,29.34,15.55,40.9008,185.64,33.9466,46.5789,22.74,19.1888,7.03625,14.16,25.0988,38.46
2020-08-04,29.78,15.74,42.766,189.59,35.3153,48.8022,24.25,19.4469,7.23256,14.12,25.2392,39.363
2020-08-05,30.23,15.99,42.8142,191.35,35.575,49.7966,25.05,20.2381,7.46617,14.18,26.1636,40.941
2020-08-06,30.18,15.97,42.5251,193.89,35.3054,49.7388,26.88,20.6097,7.45673,14.14,26.23,41.543
2020-08-07,29.85,15.81,41.0926,190.81,34.1587,47.6801,26.19,20.0757,7.53152,13.99,25.6596,40.922
2020-08-10,30.16,15.92,40.7563,190.15,33.8406,47.9025,27.0,20.1911,7.83973,13.97,26.0617,40.678
2020-08-11,29.82,15.77,37.5451,179.94,31.1705,43.2923,23.33,19.9907,7.6436,13.93,25.9876,40.04
2020-08-12,30.56,16.11,37.7182,179.1,31.334,44.2109,23.42,20.018,7.78383,14.05,26.2858,39.814
2020-08-13,30.4,16.065,39.0642,183.33,32.336,46.2407,25.45,19.9369,7.61576,14.28,26.0713,39.504
2020-08-14,30.33,16.02,38.7948,182.54,32.2776,45.5824,24.58,19.8459,7.75588,14.23,26.053,39.363
2020-08-17,30.77,16.22,41.304,186.5,34.5343,47.689,25.62,20.5138,7.6624,14.33,26.4445,40.143
2020-08-18,30.6,16.19,41.0149,188.18,34.2558,47.2162,25.88,20.5901,7.50347,14.32,26.482,39.898
2020-08-19,30.66,16.19,39.429,182.24,32.9634,45.6413,24.88,20.9529,7.42879,14.38,26.2762,39.062
2020-08-20,30.52,16.14,40.3522,183.5,33.5749,46.4153,25.61,20.6957,7.20442,14.31,26.0338,39.278
2020-08-21,30.18,15.95,39.3139,182.03,32.8088,45.1675,24.9,20.2938,7.06439,14.29,25.6875,38.828
2020-08-24,30.35,16.06,39.0839,181.0,32.6056,44.6847,24.6,20.2283,7.26051,14.29,26.0799,39.382
2020-08-25,30.92,16.34,39.016,181.22,32.453,44.7914,24.76,19.9046,7.2979,14.5,25.8135,38.837
2020-08-26,30.93,16.34,39.9963,183.36,33.2043,46.2018,25.57,20.3525,7.04569,14.42,25.9587,38.442
2020-08-27,30.67,16.19,39.0927,181.24,32.674,45.5734,25.16,20.107,7.15788,14.6,25.7067,38.714
2020-08-28,30.72,16.24,40.3424,184.39,33.8019,47.4197,25.61,20.8287,7.22312,14.65,26.1819,39.091
2020-08-31,30.58,16.1599,40.6403,184.83,33.9942,47.9803,26.23,21.173,7.02689,14.74,25.9876,38.555
2020-09-01,30.61,16.24,40.0641,185.05,33.4461,47.9025,26.14,21.5915,6.98951,14.81,26.4445,38.865
2020-09-02,29.86,15.85,40.1506,182.62,33.5898,47.0237,25.55,21.5436,6.76534,14.79,26.5849,39.072
2020-09-03,29.64,15.79,39.6993,181.14,33.2528,46.3754,24.74,20.686,6.69989,14.67,25.7019,38.131
2020-09-04,28.51,15.21,39.2854,181.64,32.8752,46.2497,25.06,21.2003,6.71859,14.75,26.0982,38.517
2020-09-08,26.75,14.32,39.016,181.29,32.7989,45.1775,24.75,20.4483,6.27941,14.67,25.6971,37.69
2020-09-09,27.41,14.645,40.7081,183.05,34.2261,46.9838,25.18,21.2189,6.3914,14.62,26.2569,38.01
2020-09-10,26.79,14.38,39.9776,182.46,33.676,46.1819,24.86,20.6097,5.98961,14.72,25.8183,36.844
2020-09-11,27.04,14.49,39.5735,182.45,33.2905,45.7191,24.9,21.0576,5.96167,14.86,26.332,37.201
2020-09-14,26.94,14.43,41.1407,183.89,34.3698,46.9838,25.29,21.2483,6.11124,14.71,26.6783,38.0
2020-09-15,27.52,14.69,41.1407,183.45,34.4194,46.907,25.23,21.3245,6.0831,14.75,26.9678,38.113
2020-09-16,28.7,15.24,41.1978,183.97,34.2786,46.8981,25.23,21.525,6.3914,14.72,27.0053,38.179
2020-09-17,29.23,15.47,40.4771,182.96,33.6671,46.3475,25.23,21.5729,6.3914,14.89,26.8745,38.611
2020-09-18,29.06,15.38,39.7652,183.2,33.0596,45.5066,24.93,21.5856,6.3914,14.98,26.7898,39.259
2020-09-21,28.29,14.97,38.3042,179.52,31.7979,43.022,23.03,20.6664,6.15778,14.72,25.6778,38.037
2020-09-22,28.17,14.86,38.4772,178.65,31.892,43.1087,22.79,20.3799,6.11124,14.67,25.4075,37.465
2020-09-23,28.03,14.89,36.1804,174.79,30.225,39.8341,21.17,19.4078,5.80294,14.62,24.9497,35.801
2020-09-24,28.5,15.1,37.199,175.44,30.9287,41.4959,21.56,19.4743,5.84997,14.62,24.8977,35.106
2020-09-25,28.35,15.03,36.9385,174.94,30.8127,40.9253,21.3,19.4939,5.7744,14.63,24.9208,34.975
2020-09-28,28.69,15.16,37.3721,176.7,31.1021,41.3991,22.02,19.6181,5.95409,14.53,25.1642,35.2
2020-09-29,27.7,14.69,37.8529,178.19,31.5838,41.9986,22.5,19.4743,5.81229,14.54,24.9304,35.378
