Date,BTC,ETH,XRP,BNB,SOL
2020-06-08,9712.79,242.94,0.2026,17.3,0.6685
2020-06-09,9822.91,244.8,0.2021,17.38,0.6575
2020-06-10,9854.13,246.84,0.2023,17.38,0.6396
2020-06-11,9345.62,233.19,0.1907,16.53,0.5695
2020-06-12,9439.64,237.13,0.1928,16.56,0.5937
2020-06-13,9424.64,237.34,0.1923,16.74,0.6094
2020-06-14,9338.84,232.8,0.1898,16.55,0.5854
2020-06-15,9437.14,231.84,0.1931,16.47,0.5697
2020-06-16,9507.66,234.67,0.1915,16.41,0.5844
2020-06-17,9409.8,232.19,0.1923,16.32,0.5837
2020-06-18,9366.75,229.87,0.1898,16.07,0.6203
2020-06-19,9324.16,229.56,0.1876,16.0,0.6861
2020-06-20,9339.38,228.04,0.1879,15.96,0.6489
2020-06-21,9328.56,229.42,0.1872,15.99,0.6742
2020-06-22,9690.25,243.12,0.1901,16.47,0.7298
2020-06-23,9649.24,244.16,0.1896,16.41,0.7078
2020-06-24,9265.66,234.6,0.1832,16.05,0.7349
2020-06-25,9301.57,234.09,0.1824,15.99,0.7142
2020-06-26,9174.83,230.3,0.1832,15.77,0.7375
2020-06-27,9059.03,221.92,0.1771,15.24,0.7126
2020-06-28,9124.24,225.14,0.1774,15.39,0.7988
2020-06-29,9212.15,228.39,0.1781,15.51,0.8542
2020-06-30,9163.73,226.31,0.176,15.44,0.8602
2020-07-01,9243.83,231.25,0.1773,15.83,0.8325
2020-07-02,9152.23,228.17,0.1759,15.44,0.7773
2020-07-03,9100.2,226.9,0.1776,15.38,0.7691
2020-07-04,9125.2,228.82,0.1778,15.53,0.7817
2020-07-05,9040.05,226.37,0.176,15.4,0.6934
2020-07-06,9284.22,239.04,0.1867,16.04,0.7105
2020-07-07,9248.45,238.21,0.1839,16.53,0.7552
2020-07-08,9434.18,247.6,0.2056,17.28,0.7956
2020-07-09,9253.41,241.83,0.2023,16.83,0.8486
2020-07-10,9216.37,239.08,0.1977,17.11,0.9133
2020-07-11,9224.6,238.99,0.201,17.55,0.9224
2020-07-12,9268.97,239.01,0.2,18.23,1.02
2020-07-13,9249.25,239.95,0.1989,18.32,1.173
2020-07-14,9244.36,240.26,0.1989,17.97,1.15
2020-07-15,9226.55,238.69,0.1982,17.54,1.282
2020-07-16,9126.44,232.82,0.1928,17.1,0.8704
2020-07-17,9154.51,232.65,0.1938,17.1,0.9778
2020-07-18,9181.37,236.24,0.2013,17.22,0.9659
2020-07-19,9175.75,235.72,0.2,17.85,0.929
2020-07-20,9174.18,236.11,0.1951,17.53,0.8998
2020-07-21,9383.57,244.9,0.1989,17.64,0.9424
2020-07-22,9381.49,247.41,0.2011,17.73,1.04
2020-07-23,9618.66,275.03,0.2073,18.62,1.059
2020-07-24,9611.2,285.57,0.2069,19.4,1.002
2020-07-25,9701.95,303.7,0.2152,19.82,1.248
2020-07-26,9888.63,310.89,0.2159,19.52,1.566
2020-07-27,11125.84,322.65,0.2257,19.63,1.738
2020-07-28,11025.21,318.59,0.2334,20.38,1.79
2020-07-29,11297.07,323.7,0.2494,20.13,1.655
2020-07-30,11097.26,335.91,0.2491,19.94,1.683
2020-07-31,11397.67,347.73,0.2567,20.56,1.522
2020-08-01,11772.18,384.94,0.2863,21.47,1.53
2020-08-02,11136.86,377.63,0.2919,20.89,1.73
2020-08-03,11222.75,384.09,0.3076,21.73,1.802
2020-08-04,11241.09,391.99,0.3031,22.39,1.86
2020-08-05,11779.11,405.66,0.307,23.26,1.743
2020-08-06,11747.23,395.58,0.3036,22.83,2.201
2020-08-07,11602.49,379.46,0.2953,22.25,2.083
2020-08-08,11765.41,391.17,0.2949,22.68,2.465
2020-08-09,11648.47,389.39,0.2902,22.43,2.667
2020-08-10,11839.01,393.93,0.2931,22.46,3.12
2020-08-11,11302.45,373.78,0.2796,21.15,3.296
2020-08-12,11509.61,382.7,0.2801,21.51,3.755
2020-08-13,11697.92,418.93,0.2896,21.65,3.738
2020-08-14,11773.93,438.04,0.3024,22.96,3.413
2020-08-15,11914.37,433.05,0.3,22.97,3.176
2020-08-16,11862.5,431.4,0.3003,23.56,3.392
2020-08-17,12334.97,439.06,0.3237,23.9,3.116
2020-08-18,12075.01,427.51,0.3068,23.2,3.343
2020-08-19,11715.81,405.6,0.2874,22.29,2.887
2020-08-20,11832.75,416.27,0.2912,23.04,3.207
2020-08-21,11527.98,388.42,0.2793,21.91,2.932
2020-08-22,11673.58,393.58,0.2848,22.08,3.016
2020-08-23,11671.43,393.38,0.2861,21.94,3.253
