Date,USD Index,EUR/USD,GBP/USD,USD/JPY,USD/CAD,USD/SEK,USD/CHF,DXY
2020-06-08,60.2499,1.12913,1.27236,108.424,1.33859,9.2101,0.95763,96.71850731588665
2020-06-09,60.0563,1.13383,1.27284,107.724,1.34175,9.19604,0.95053,96.38676375428251
2020-06-10,59.8356,1.13759,1.27466,107.116,1.34033,9.18251,0.94395,96.07353115945462
2020-06-11,60.2341,1.12933,1.2596,106.819,1.36231,9.33041,0.94457,96.78800647168642
2020-06-12,60.4824,1.12552,1.25218,107.374,1.35967,9.33502,0.95206,97.1257020868529
2020-06-15,60.2445,1.13255,1.26153,107.342,1.35613,9.2776,0.94909,96.62957639070949
2020-06-16,60.3741,1.12622,1.2567,107.318,1.35449,9.37678,0.95169,97.02554643866254
2020-06-17,60.3513,1.12433,1.25534,107.011,1.35647,9.32415,0.9486,97.07272558822838
2020-06-18,60.5857,1.12049,1.24219,106.962,1.3605,9.42544,0.95138,97.46087383690774
2020-06-19,60.6602,1.11865,1.23589,106.804,1.36073,9.46198,0.95208,97.61254756692136
2020-06-22,60.3518,1.12633,1.24692,106.917,1.35251,9.37756,0.94755,97.03309137111076
2020-06-23,60.2012,1.13089,1.25128,106.49,1.35502,9.29181,0.94489,96.68390069120242
2020-06-24,60.52,1.1255,1.24262,107.034,1.36395,9.36433,0.94776,97.19814841464172
2020-06-25,60.5973,1.12163,1.24215,107.184,1.36373,9.32672,0.949,97.40080537121095
2020-06-26,60.6709,1.12284,1.23433,107.193,1.36658,9.32118,0.94773,97.42600853089976
2020-06-29,60.7838,1.1241,1.23002,107.576,1.36615,9.32675,0.95122,97.46343595318471
2020-06-30,60.6104,1.12323,1.23992,107.963,1.35745,9.32065,0.94719,97.38731778712653
2020-07-01,60.4508,1.12505,1.24778,107.459,1.35854,9.30471,0.94589,97.15686194632359
2020-07-02,60.4565,1.12398,1.24677,107.527,1.3565,9.31865,0.94549,97.21919556857863
2020-07-03,60.415,1.12448,1.24795,107.4845,1.35531,9.31648,0.94477,97.16675165243566
2020-07-06,60.2723,1.13107,1.24914,107.374,1.3536,9.24996,0.94218,96.76591611326194
2020-07-07,60.3448,1.12741,1.25509,107.555,1.3607,9.25824,0.94275,96.96603019797324
2020-07-08,60.0587,1.13328,1.2613,107.265,1.35209,9.17965,0.93845,96.47796875399655
2020-07-09,60.1923,1.12842,1.26058,107.222,1.35802,9.23822,0.94057,96.79062548279329
2020-07-10,60.146,1.13002,1.26277,106.942,1.35962,9.19744,0.94127,96.65229556793672
2020-07-13,60.2147,1.13462,1.25573,107.267,1.36073,9.19229,0.94158,96.53643866618823
2020-07-14,60.1313,1.14024,1.25589,107.248,1.36117,9.09836,0.93969,96.21266427049069
2020-07-15,60.0311,1.14126,1.25893,106.951,1.35108,9.07778,0.94458,96.04297892457487
2020-07-16,60.2024,1.13809,1.2554,107.263,1.35751,9.08635,0.94551,96.31608653496347
2020-07-17,59.9989,1.14373,1.25728,106.944,1.35795,9.0268,0.93814,95.93553064921235
2020-07-20,59.9251,1.14439,1.26557,107.253,1.3535,8.98776,0.93944,95.82499498852943
2020-07-21,59.5651,1.15327,1.27225,106.794,1.34575,8.87786,0.9328,95.16068773752288
2020-07-22,59.4737,1.15726,1.27305,107.145,1.34149,8.87063,0.92934,94.96348825779319
2020-07-23,59.3557,1.15958,1.27355,106.8475,1.34073,8.8705,0.92547,94.79452250108521
2020-07-24,59.1377,1.16421,1.27872,105.9705,1.34195,8.84179,0.92267,94.41036588230801
2020-07-27,58.7928,1.17505,1.28858,105.395,1.33615,8.73552,0.92034,93.6594024256546
2020-07-28,58.7245,1.17211,1.29298,105.071,1.338,8.77173,0.91739,93.73460956332723
2020-07-29,58.4726,1.17928,1.30005,104.939,1.33344,8.72619,0.91256,93.26226010156418
2020-07-30,58.3671,1.18424,1.30919,104.79,1.34287,8.70189,0.90943,92.97879941772297
2020-07-31,58.5727,1.17823,1.3092,105.833,1.33921,8.77818,0.91427,93.40618037809422
2020-08-03,58.6745,1.17606,1.30751,106.006,1.33939,8.75418,0.91774,93.54370859339254
2020-08-04,58.4999,1.17972,1.3066,105.722,1.33268,8.72463,0.91335,93.27810077847143
2020-08-05,58.2577,1.1866,1.31203,105.6025,1.32709,8.66713,0.9081,92.82545172379547
2020-08-06,58.2673,1.18767,1.31433,105.514,1.33093,8.67817,0.9097,92.78259083818126
2020-08-07,58.5847,1.17868,1.30602,105.954,1.33805,8.75534,0.91308,93.40521680441235
2020-08-10,58.6286,1.17394,1.30713,105.939,1.33535,8.76124,0.91559,93.60569062643988
2020-08-11,58.6813,1.17434,1.30523,106.5235,1.33003,8.75734,0.91714,93.64352360886213
2020-08-12,58.5896,1.17844,1.30326,106.873,1.32534,8.6955,0.91213,93.43786899767107
2020-08-13,58.4804,1.18147,1.30669,106.938,1.32243,8.69227,0.90987,93.24986183020114
2020-08-14,58.4296,1.18373,1.30861,106.592,1.32606,8.70002,0.90944,93.11508549740529
2020-08-17,58.2383,1.18743,1.3107,106.04,1.32216,8.68914,0.90623,92.8230226391772
2020-08-18,57.9125,1.19322,1.32403,105.42,1.3168,8.64823,0.90338,92.31530977773411
2020-08-19,58.3668,1.1843,1.31111,106.057,1.32122,8.69675,0.91465,92.99117324494225
2020-08-20,58.123,1.18609,1.32162,105.803,1.3184,8.70832,0.90835,92.75587189425929
2020-08-21,58.3455,1.17952,1.30883,105.823,1.3185,8.79416,0.9116,93.21427310657
2020-08-24,58.4203,1.17901,1.30662,105.981,1.32198,8.79004,0.91176,93.29630196927035
2020-08-25,58.2518,1.18342,1.31483,106.398,1.31728,8.75931,0.90736,93.01616913788713
2020-08-26,58.1507,1.18305,1.32089,106.012,1.31501,8.71819,0.90823,92.90633915644786
2020-08-27,58.2026,1.18202,1.32103,106.545,1.31241,8.72283,0.90882,93.00271193694785
2020-08-28,57.7985,1.18985,1.33483,105.376,1.31001,8.63193,0.90432,92.32392658887008
2020-08-31,57.7392,1.19393,1.33683,105.889,1.30429,8.65372,0.90369,92.15726412464969
2020-09-01,57.8443,1.19166,1.33819,105.947,1.30662,8.6834,0.90901,92.30180479243445
2020-09-02,57.9628,1.18553,1.33529,106.1735,1.30506,8.713,0.91082,92.63701250360694
2020-09-03,58.0806,1.18509,1.32778,106.157,1.31282,8.73145,0.90932,92.76984283122393
2020-09-04,58.0787,1.18423,1.32798,106.229,1.30601,8.72985,0.91277,92.78355412302332
2020-09-07,58.2925,1.18154,1.31629,106.282,1.30986,8.77112,0.91626,93.0654152927135
2020-09-08,58.6127,1.17738,1.29768,105.952,1.32409,8.83165,0.91802,93.49864470291824
2020-09-09,58.4406,1.18033,1.29964,106.197,1.31479,8.74849,0.91258,93.2596309679778
2020-09-10,58.6049,1.18214,1.28025,106.15,1.31938,8.77054,0.91029,93.36959302520872
2020-09-11,58.5593,1.18408,1.27974,106.0845,1.31845,8.77231,0.90908,93.26837922119236
2020-09-14,58.4293,1.18666,1.28492,105.714,1.31776,8.77283,0.90829,93.05535120666595
2020-09-15,58.3844,1.18486,1.28916,105.431,1.31852,8.79232,0.90832,93.07998077412765
2020-09-16,58.3029,1.18143,1.29681,104.952,1.31761,8.79891,0.90954,93.11381740351605
2020-09-17,58.2233,1.18447,1.29725,104.77,1.31626,8.78078,0.90843,92.92958585079505
2020-09-18,58.3054,1.18488,1.29218,104.593,1.31988,8.76403,0.91062,92.95682830922391
2020-09-21,58.6397,1.17699,1.28143,104.677,1.33104,8.85672,0.91458,93.5457968295747
2020-09-22,58.8618,1.1707,1.27382,104.936,1.33046,8.91227,0.91967,93.97278684201218
2020-09-23,59.0876,1.16612,1.27239,105.346,1.33813,9.02016,0.92378,94.35989082685838
2020-09-24,59.0699,1.16719,1.27501,105.415,1.33565,9.10333,0.92624,94.32483327095017
2020-09-25,59.2037,1.16262,1.27479,105.611,1.3387,9.1294,0.9291,94.6055378978863
2020-09-28,59.0007,1.16645,1.28385,105.5185,1.33711,9.04853,0.92473,94.27425455435201
2020-09-29,58.8774,1.17407,1.28604,105.656,1.33905,8.96454,0.9201,93.8775639256901
2020-09-30,58.7593,1.1724,1.29198,105.439,1.33213,8.95096,0.92045,93.8278622682942
2020-10-01,58.725,1.17462,1.28835,105.555,1.32845,8.91881,0.91845,93.72597683196328
2020-10-02,58.7462,1.17124,1.29329,105.3855,1.33101,8.9364,0.92069,93.85085636848274
2020-10-05,58.5697,1.17805,1.29775,105.733,1.32637,8.89654,0.91566,93.47582034540672
2020-10-06,58.7767,1.17328,1.28771,105.629,1.33151,8.96198,0.91824,93.84000333490195
2020-10-07,58.689,1.17657,1.29133,106.0,1.32632,8.88215,0.91689,93.62869899840011
2020-10-08,58.6294,1.17594,1.29316,106.024,1.31984,8.86445,0.91733,93.5967374420399
2020-10-09,58.2722,1.18237,1.30386,105.607,1.31297,8.79506,0.91029,93.06104681505913
2020-10-12,58.197,1.18143,1.30654,105.32,1.31119,8.80466,0.90927,93.03552077520352
2020-10-13,58.4945,1.17451,1.29374,105.497,1.31398,8.82983,0.91472,93.53105247465459
2020-10-14,58.3678,1.17486,1.30126,105.1165,1.3146,8.82401,0.91326,93.40066840936166
2020-10-15,58.6156,1.17102,1.29049,105.4155,1.32193,8.86839,0.91443,93.7772536576908
2020-10-16,58.569,1.17177,1.29273,105.395,1.31917,8.84647,0.91496,93.69524442336869
2020-10-19,58.4524,1.17677,1.29426,105.438,1.31929,8.82819,0.91039,93.43356970747587
2020-10-20,58.3009,1.1824,1.29441,105.473,1.31303,8.747,0.90705,93.09120247483197
2020-10-21,57.9677,1.18598,1.31449,104.5645,1.31418,8.72969,0.90485,92.6416669153007
2020-10-22,58.1211,1.1821,1.3082,104.855,1.31361,8.76627,0.90736,92.92665161109034
2020-10-23,58.0536,1.18625,1.3046,104.707,1.31372,8.74828,0.90398,92.73209909785483
2020-10-26,58.2745,1.18071,1.30162,104.885,1.32118,8.74556,0.9082,93.0916070403897
2020-10-27,58.2503,1.17802,1.30271,104.509,1.31959,8.7391,0.90936,93.15037538090327
2020-10-28,58.4109,1.17485,1.29865,104.302,1.33126,8.84826,0.91039,93.43185786887611
2020-10-29,58.6585,1.16698,1.29277,104.623,1.33222,8.92884,0.91596,93.94671019066755
2020-10-30,58.6824,1.16466,1.29509,104.672,1.33262,8.90087,0.91693,94.03414133178535
2020-11-02,58.665,1.16404,1.29144,104.753,1.32267,8.90274,0.91866,94.0475375270912
2020-11-03,58.252,1.17283,1.30732,104.606,1.31322,8.82509,0.91225,93.36806269574575
2020-11-04,58.379,1.17213,1.29411,104.514,1.31367,8.78834,0.91286,93.490713928126
2020-11-05,57.8292,1.18232,1.31429,103.622,1.30601,8.69789,0.9049,92.62760859890322
2020-11-06,57.6524,1.18797,1.31521,103.298,1.30436,8.63123,0.89999,92.26806026145017
2020-11-09,58.0653,1.18171,1.31599,105.257,1.30062,8.62344,0.91366,92.8020971069096
2020-11-10,58.0052,1.18188,1.32705,105.261,1.30318,8.6228,0.91487,92.7232342466608
2020-11-11,58.1615,1.17778,1.32227,105.422,1.30636,8.63392,0.91706,93.00190536398897
2020-11-12,58.2379,1.18069,1.31185,105.129,1.31464,8.6357,0.91487,92.96834840621888
2020-11-13,58.0581,1.18338,1.31963,104.633,1.31414,8.68939,0.91288,92.73525908931491
2020-11-16,57.9735,1.1856,1.31953,104.585,1.30798,8.61768,0.91258,92.5573428348406
2020-11-17,57.8649,1.18632,1.3264,104.193,1.30999,8.62472,0.91135,92.43220900269571
2020-11-18,57.8197,1.18517,1.32676,103.832,1.30847,8.59913,0.91136,92.41596691163397
2020-11-19,57.7953,1.18705,1.32536,103.7835,1.3076,8.60249,0.91103,92.33208862617562
2020-11-20,57.7857,1.1859,1.32913,103.822,1.30825,8.61739,0.91112,92.3683067194858
2020-11-23,57.8723,1.18395,1.33229,104.499,1.30839,8.62885,0.91258,92.52291873261004
2020-11-24,57.6931,1.18922,1.33587,104.481,1.29975,8.5444,0.91113,92.15594350280857
2020-11-25,57.6176,1.19154,1.33815,104.4525,1.30034,8.50108,0.90843,92.0047793814935
2020-11-26,57.6158,1.19104,1.33569,104.266,1.30185,8.52756,0.90672,92.04030744352379
2020-11-27,57.5465,1.19607,1.32964,104.0565,1.29916,8.49784,0.90467,91.80341680584591
2020-11-30,57.6337,1.19308,1.33291,104.349,1.30036,8.57402,0.9081,91.99882256213225
2020-12-01,57.2469,1.20722,1.34268,104.321,1.29381,8.47773,0.89973,91.17826549862244
2020-12-02,57.1876,1.21128,1.3372,104.428,1.29193,8.4692,0.89481,91.0252328366151
2020-12-03,56.9304,1.21448,1.34517,103.864,1.28653,8.45392,0.89092,90.70019886313756
2020-12-04,56.9256,1.21268,1.34349,104.173,1.27782,8.44952,0.89152,90.77199319401018
2020-12-07,56.9921,1.21104,1.33719,104.047,1.28012,8.39659,0.89079,90.86685122990204
2020-12-08,57.0086,1.21061,1.33605,104.159,1.28158,8.47354,0.88905,90.94583602668328
2020-12-09,57.0584,1.20807,1.3361,104.288,1.28235,8.4926,0.88945,91.08589850166237
2020-12-10,56.9332,1.21416,1.33015,104.24,1.27455,8.4415,0.88604,90.77901690872298
2020-12-11,57.0609,1.21158,1.32245,104.038,1.27657,8.45614,0.88925,90.96070233065697
2020-12-14,56.9018,1.21457,1.33297,104.026,1.27594,8.40235,0.88662,90.70656104056575
2020-12-15,56.6908,1.21514,1.34513,103.685,1.26994,8.38225,0.88571,90.4923892180438
2020-12-16,56.6107,1.21978,1.35029,103.449,1.27428,8.35264,0.88521,90.23762521839923
2020-12-17,56.4109,1.22671,1.35858,103.1125,1.27243,8.27395,0.88423,89.7871768898278
2020-12-18,56.5808,1.22452,1.34991,103.3175,1.27902,8.26494,0.88389,90.00937566821676
2020-12-21,56.7182,1.22386,1.34513,103.341,1.28556,8.24907,0.8863,90.1215086921744
2020-12-22,56.982,1.21643,1.33621,103.624,1.29079,8.35001,0.88954,90.63511391121287
2020-12-23,56.7664,1.21904,1.35003,103.544,1.28493,8.28651,0.88849,90.33278410008901
2020-12-24,56.7867,1.21807,1.35283,103.6875,1.28295,8.2657,0.89135,90.35718274232141
2020-12-28,56.8232,1.22092,1.34526,103.776,1.28478,8.28804,0.88927,90.32074182841482
2020-12-29,56.6221,1.22534,1.35023,103.554,1.28198,8.20423,0.88386,89.99107372475667
2020-12-30,56.3611,1.22974,1.36177,103.215,1.27553,8.19603,0.88149,89.62098687315427
2020-12-31,56.4189,1.2216,1.36721,103.2885,1.27265,8.22779,0.88503,89.93959723536283
2021-01-04,56.4505,1.22506,1.35761,103.127,1.27839,8.24642,0.88119,89.88066494382983
2021-01-05,56.1929,1.22968,1.36226,102.718,1.26747,8.18642,0.87844,89.49363139929346
2021-01-06,56.217,1.2328,1.36106,103.068,1.2675,8.16269,0.87877,89.40432907415224
2021-01-07,56.4923,1.22661,1.35643,103.848,1.26879,8.19681,0.88531,89.8403382982857
2021-01-08,56.5568,1.22238,1.35593,103.958,1.26988,8.2283,0.88528,90.0576195245898
2021-01-11,56.8312,1.21526,1.35096,104.218,1.27822,8.3041,0.8903,90.53853916998774
2021-01-12,56.5003,1.22055,1.36635,103.783,1.27143,8.24754,0.88672,90.05675950018183
2021-01-13,56.5737,1.2157,1.36412,103.87,1.27,8.34123,0.88776,90.32877267093504
2021-01-14,56.4884,1.21519,1.36881,103.824,1.26416,8.31009,0.88822,90.25790591124934
2021-01-15,56.7719,1.20778,1.3584,103.89,1.27334,8.39763,0.89125,90.7773979993583
2021-01-18,56.7607,1.20782,1.35833,103.698,1.2752,8.39808,0.8907,90.76363154371145
2021-01-19,56.652,1.21283,1.36336,103.917,1.27333,8.3324,0.88858,90.48393753574126
2021-01-20,56.5355,1.211,1.36545,103.575,1.26321,8.34696,0.88947,90.44977658205102
2021-01-21,56.3597,1.21678,1.37321,103.508,1.26379,8.27296,0.8851,90.08738647750697
2021-01-22,56.5235,1.21663,1.36798,103.826,1.27264,8.29935,0.88555,90.24331587885376
