Date,US Financials ETF,European Banks ETF,Global Financials ETF,Asia-Pacific ETF,China Financials ETF,Japan Banks ETF,Latin America Financials ETF,Canada Banks ETF,Australia Banks ETF
2020-06-08,25.4679,14.4174,56.299,62.5838,39.5755,55.5206,21.9126,25.9827,19.129
2020-06-09,24.9247,13.9949,55.1655,62.9903,39.3833,55.2335,21.2965,25.7246,18.7954
2020-06-10,23.9905,13.7629,53.8333,63.6879,39.8542,55.2047,20.6622,25.5073,18.8051
2020-06-11,22.0291,12.8082,49.7593,61.0303,38.2045,52.8835,19.0548,24.0391,17.4542
2020-06-12,22.6941,13.1171,51.0817,61.7577,38.6844,53.8332,19.8378,24.459,17.7781
2020-06-15,23.0098,13.1547,51.3949,61.0014,38.3389,53.2449,19.4962,24.6784,18.0244
2020-06-16,23.372,13.3019,52.0909,61.6222,38.6386,54.2709,19.6641,24.9762,18.2145
2020-06-17,23.0197,13.1999,51.6749,62.0686,38.7929,54.5125,19.7342,24.7935,18.1854
2020-06-18,22.99,13.1085,51.4918,62.2928,38.9283,54.4155,19.3215,24.8422,18.0914
2020-06-19,22.8376,12.8977,51.0484,61.953,38.987,54.154,19.5663,24.7161,17.8761
2020-06-22,22.7247,13.0815,51.2412,63.073,39.2768,54.5224,19.4703,24.9762,18.2795
2020-06-23,22.8307,13.2827,51.5692,63.7845,39.5386,54.667,19.9012,25.0338,18.3076
2020-06-24,22.0252,12.8602,49.9609,63.2375,39.1314,53.5262,19.1181,24.4372,17.7907
2020-06-25,22.6109,13.2461,51.0856,63.3361,39.228,54.1352,19.4262,24.6883,17.9595
2020-06-26,21.6431,12.8602,49.4147,63.0232,38.8606,53.6133,18.6536,24.188,17.6598
2020-06-29,21.8827,13.1181,49.9854,63.2474,38.7262,53.6212,19.0836,24.5345,17.9983
2020-06-30,22.1786,13.0902,50.4112,63.2185,38.3877,53.0815,18.9607,24.8988,18.1108
2020-07-01,21.9866,13.1364,50.1988,63.8622,38.8317,52.9746,19.3734,24.9375,18.2892
2020-07-02,22.0152,13.3847,50.8164,65.3529,40.0882,53.3222,19.5759,25.0625,18.6364
2020-07-06,22.4358,13.7986,52.0234,68.2257,43.8984,54.0094,20.0422,25.2164,18.6557
