Date,Technology,Energy,Consumer Staples,Consumer Discretionary,Healthcare,Industrials,Materials
2020-06-08,99.7217,41.5761,57.2142,130.833,99.9943,73.4333,57.0246
2020-06-09,100.179,40.0149,56.7458,129.807,98.9629,71.6053,56.3293
2020-06-10,101.851,38.0449,56.587,128.603,98.8142,69.8922,55.6913
2020-06-11,96.0216,34.4608,54.4401,121.863,93.3166,64.9826,51.3906
2020-06-12,97.2642,35.3313,54.4501,123.077,93.9235,66.244,52.389
2020-06-15,98.2034,35.4361,55.0782,124.232,94.1348,66.8989,52.9421
2020-06-16,100.289,36.4573,55.9401,126.85,96.4567,68.2067,54.0461
2020-06-17,100.269,35.215,55.8563,126.512,96.3605,67.7163,53.5978
2020-06-18,100.727,35.6493,56.1463,126.044,96.0292,67.4676,53.6353
2020-06-19,100.03,35.1094,55.8563,125.058,96.9536,66.6382,53.4744
2020-06-22,101.911,35.2717,55.6975,126.352,96.5776,66.7512,53.6728
2020-06-23,102.657,35.3089,55.6107,127.358,96.9932,66.7602,53.7962
2020-06-24,100.329,33.3486,54.6759,124.54,94.4651,64.4386,52.2271
2020-06-25,101.622,33.9874,55.0634,124.71,95.3944,65.155,52.8788
2020-06-26,99.6321,32.8086,53.9412,121.793,94.234,63.9472,52.152
2020-06-29,100.707,33.2497,54.9599,124.092,95.085,66.0447,53.1642
2020-06-30,102.517,34.0128,55.3642,125.686,96.7046,66.4233,53.9296
2020-07-01,102.686,33.1862,55.4125,126.96,97.4485,66.123,54.0461
2020-07-02,103.284,33.554,55.6975,127.458,98.1943,66.6938,55.0613
2020-07-06,105.094,33.6538,55.9687,130.475,99.1811,67.6508,55.8454
2020-07-07,103.99,32.5846,56.4795,128.433,98.3321,66.3539,55.8632
2020-07-08,105.682,32.5592,56.3385,129.797,98.3421,66.3539,55.0702
2020-07-09,106.07,30.9481,55.8938,129.659,97.5556,64.9132,54.5518
2020-07-10,106.04,31.939,56.9243,131.201,97.3215,65.7544,55.4998
2020-07-13,103.84,31.7659,56.8375,129.539,97.8769,66.0249,55.4998
2020-07-14,105.044,32.88,57.6688,130.823,99.806,67.4577,56.8981
2020-07-15,105.602,33.5922,57.7172,132.685,101.135,69.1767,57.8551
2020-07-16,104.308,33.4386,57.8395,132.336,100.966,69.1966,58.0467
2020-07-17,104.816,32.972,58.152,131.729,102.325,69.6127,58.5364
2020-07-20,107.482,32.4232,57.5653,133.83,102.305,68.7616,58.0269
2020-07-21,106.418,34.3815,58.0653,134.038,102.246,69.6702,58.5364
2020-07-22,107.254,33.96,58.5287,135.184,103.169,70.231,59.2139
2020-07-23,104.488,33.8974,58.7349,133.152,102.692,70.019,59.0312
2020-07-24,103.214,33.7066,58.6608,133.392,101.562,69.4572,58.8298
2020-07-27,104.846,33.7437,58.9528,134.218,102.325,69.7475,59.683
2020-07-28,103.612,33.1696,59.1697,132.884,102.216,69.2649,58.3716
2020-07-29,105.124,33.8612,59.2556,134.238,103.297,70.3182,58.8495
2020-07-30,105.702,32.5308,59.2556,134.128,102.563,69.6127,57.7109
2020-07-31,108.348,32.3772,59.1984,134.826,101.988,69.3511,57.7682
2020-08-03,111.024,32.4946,59.0386,134.536,103.039,69.6415,57.4423
2020-08-04,111.293,33.286,59.7742,135.632,102.573,69.8149,58.257
2020-08-05,111.701,33.6352,59.651,137.275,103.059,71.1515,59.1093
2020-08-06,113.283,33.3672,59.6421,137.951,102.494,71.422,58.8594
2020-08-07,111.581,33.4112,59.9626,138.161,102.831,72.6387,59.0599
2020-08-10,111.273,34.4442,60.2762,139.803,102.474,74.4281,59.6356
2020-08-11,109.273,34.3277,59.8591,139.525,101.839,74.8245,59.5289
2020-08-12,111.75,34.6692,60.6331,141.376,103.565,75.0652,59.8855
2020-08-13,111.8,33.9952,60.5878,141.327,103.426,74.6689,59.8755
2020-08-14,111.721,34.3189,60.579,141.317,103.218,74.9582,59.9418
2020-08-17,112.467,34.1214,60.9152,143.138,103.813,74.6114,60.2094
2020-08-18,112.895,33.6909,61.1637,144.024,103.793,74.2062,59.9595
2020-08-19,112.755,33.3036,60.6805,143.348,103.465,74.01,59.7876
2020-08-20,114.257,32.5846,60.5592,143.128,103.129,73.6156,59.5783
2020-08-21,115.721,32.3772,60.7101,143.866,103.237,73.9159,59.2317
2020-08-24,116.715,33.2674,61.2288,146.036,102.751,75.2475,60.2755
2020-08-25,117.292,32.7998,61.0956,146.523,103.465,75.1534,60.0365
2020-08-26,119.69,32.1092,61.1736,147.977,103.337,75.1911,60.6676
2020-08-27,119.789,32.1709,61.5493,147.181,104.141,75.4616,60.5056
2020-08-28,120.834,32.747,62.0976,148.147,104.369,76.1779,61.2255
2020-08-31,121.222,32.0368,61.9171,147.709,104.617,75.2287,60.2854
2020-09-01,123.53,31.8206,61.9842,149.261,103.684,75.9936,61.98
