Date,S&P500,NASDAQ,Dow Jones,FTSE250,DAX,Nikkei225,Shanghai,Russell2000,MSCI Emerging Markets,MSCI World,All Country World,Euro Stoxx 50
2020-06-08,3232.39,9924.745,27572.44,18136.9,12819.59,23178.1,2937.771,148.631,36.9172,93.6209,70.8661,34.8496
2020-06-09,3207.18,9953.753,27272.3,17755.25,12617.99,23091.03,2956.111,145.893,36.6665,92.7515,70.2438,34.1738
2020-06-10,3190.14,10020.35,26989.99,17605.46,12530.16,23124.95,2943.752,141.924,36.9355,92.4124,70.0514,33.9692
2020-06-11,3002.1,9492.727,25128.17,16973.67,11970.29,22472.91,2920.896,131.119,35.0069,87.1659,66.1114,31.8093
2020-06-12,3041.31,9588.809,25605.54,17077.34,11949.28,22305.48,2919.74,134.233,35.7532,88.4319,67.0641,32.3672
2020-06-15,3066.59,9726.022,25763.16,17089.17,11911.35,21530.95,2890.03,137.359,35.4273,89.1448,67.521,32.6711
2020-06-16,3124.74,9895.867,26289.98,17464.7,12315.66,22582.21,2931.749,140.653,35.6536,90.6279,68.639,33.1161
2020-06-17,3113.49,9910.531,26119.61,17582.36,12382.14,22455.76,2935.873,138.113,35.9969,90.5397,68.6014,33.2467
2020-06-18,3115.34,9943.051,26080.1,17518.26,12281.53,22355.46,2939.315,138.064,36.0144,90.4713,68.5188,33.0801
2020-06-19,3097.74,9946.123,25871.46,17687.26,12330.76,22478.79,2967.634,137.359,36.0051,90.0132,68.1302,32.8668
2020-06-22,3117.86,10056.47,26024.96,17573.44,12262.97,22437.27,2965.271,138.729,36.4466,90.7548,68.8144,33.3742
2020-06-23,3131.29,10131.37,26156.1,17652.8,12523.76,22549.05,2970.62,139.304,36.7991,91.1543,69.1372,33.7404
2020-06-24,3050.33,9909.166,25445.94,17150.83,12093.94,22534.32,2979.55,134.78,36.311,88.8017,67.5117,32.7958
2020-06-25,3083.76,10017.0,25745.6,17112.12,12177.87,22259.79,2973.538666666667,136.833,36.4639,89.925,68.2325,33.3002
2020-06-26,3009.05,9757.219,25015.55,17113.21,12089.39,22512.08,2967.5273333333334,133.152,36.0234,87.9928,66.911,32.7022
2020-06-29,3053.24,9874.153,25595.8,17198.66,12232.12,21995.04,2961.516,137.509,36.1864,89.0555,67.6768,33.2057
2020-06-30,3100.29,10058.77,25812.88,17119.16,12310.93,22288.14,2984.674,139.483,36.0684,89.925,68.1208,33.2544
2020-07-01,3115.86,10154.63,25734.97,17189.43,12260.57,22121.73,3025.981,138.163,36.4732,90.4316,68.6294,33.2642
2020-07-02,3130.01,10207.63,25827.36,17367.86,12608.46,22145.96,3090.569,138.729,37.3038,91.1157,69.2668,33.8709
2020-07-03,3154.865,10320.64,26057.195,17302.03,12528.18,22306.48,3152.812,139.22500000000002,38.10695,91.8181,69.93225000000001,34.21805
2020-07-06,3179.72,10433.65,26287.03,17550.03,12733.45,22714.44,3332.88,139.721,38.9101,92.5205,70.5977,34.5652
2020-07-07,3145.32,10343.89,25890.18,17350.04,12616.8,22614.69,3345.336,137.26,38.2599,91.5549,69.7754,33.9566
2020-07-08,3169.94,10492.5,26067.28,17185.24,12494.81,22438.65,3403.44,138.283,39.2526,92.3351,70.4955,34.2653
2020-07-09,3152.05,10547.75,25706.09,16985.13,12489.46,22529.29,3450.593,135.474,39.2526,91.7214,70.0616,33.7872
2020-07-10,3185.04,10617.44,26075.3,17179.97,12633.71,22290.81,3383.322,137.677,38.9998,92.6474,70.6247,34.1903
2020-07-13,3155.22,10390.84,26085.8,17385.09,12799.97,22784.74,3443.286,135.921,38.7377,91.8176,70.0064,34.1338
2020-07-14,3197.52,10488.58,26642.59,17174.69,12697.36,22587.01,3414.618,138.173,38.792,93.0876,70.8744,34.724
2020-07-15,3226.56,10550.49,26870.1,17420.55,12930.98,22945.5,3361.304,143.244,38.9101,94.0631,71.5777,35.1915
2020-07-16,3215.57,10473.83,26734.71,17321.29,12874.97,22770.36,3210.098,142.39,38.3587,93.6328,71.143,35.0873
2020-07-17,3224.73,10503.19,26671.95,17347.93,12919.61,22696.42,3214.128,142.817,38.5758,93.9362,71.3926,35.247
2020-07-20,3251.84,10767.09,26680.87,17385.85,13046.92,22717.48,3314.149,142.191,39.0722,94.6679,72.0205,35.5002
2020-07-21,3257.3,10680.36,26840.4,17501.83,13171.83,22884.22,3320.894,144.196,39.4322,94.8542,72.2419,35.6404
2020-07-22,3276.02,10706.13,27005.84,17465.73,13104.25,22751.61,3333.163,144.276,39.2609,95.3123,72.473,35.7631
2020-07-23,3235.66,10461.42,26652.33,17489.45,13103.39,22739.69,3325.11,144.425,38.9448,94.2386,71.7249,35.4057
2020-07-24,3215.63,10363.18,26469.89,17264.84,12838.06,22727.77,3196.768,142.311,38.9101,93.6527,71.2997,35.1437
2020-07-27,3239.41,10536.27,26584.77,17157.94,12838.66,22715.85,3205.226,143.799,39.5136,94.5509,72.0936,35.5098
2020-07-28,3218.44,10402.09,26379.28,17278.23,12835.28,22657.38,3227.96,142.36,39.1895,93.9362,71.6047,35.2567
2020-07-29,3258.44,10542.94,26539.57,17247.66,12822.26,22397.11,3294.552,145.496,39.8194,95.0297,72.4549,35.6686
2020-07-30,3246.22,10587.81,26313.65,17017.05,12379.65,22339.23,3286.822,144.91,39.3149,94.4636,71.9829,34.985
2020-07-31,3271.12,10745.27,26428.32,16932.65,12313.36,21710.0,3310.006,143.561,39.0446,94.3268,71.7717,34.2088
2020-08-03,3294.61,10902.8,26664.4,17158.12,12646.98,22195.38,3367.965,145.903,39.3149,95.341,72.5292,34.9295
2020-08-04,3306.51,10941.17,26828.47,17307.7,12600.87,22573.66,3371.687,146.895,39.8377,95.7901,72.9074,35.1154
2020-08-05,3327.77,10998.4,27201.52,17638.3,12660.25,22514.85,3377.564,149.822,40.2711,96.376,73.4059,35.3131
2020-08-06,3349.16,11108.07,27386.98,17479.38,12591.68,22418.15,3386.463,149.763,40.3982,96.7766,73.6648,35.3511
2020-08-07,3351.28,11010.98,27433.48,17622.93,12674.88,22329.94,3354.035,152.144,39.5669,96.4742,73.3326,35.1632
2020-08-10,3360.47,10968.36,27791.44,17724.94,12687.53,22540.09,3379.252,153.722,39.6665,96.7567,73.5164,35.1437
2020-08-11,3333.69,10782.82,27686.91,17997.18,12946.89,22750.24,3340.29,152.838,39.5584,96.3572,73.2574,35.3979
2020-08-12,3380.35,11012.24,27976.84,18089.58,13058.63,22843.96,3319.265,153.454,40.0905,97.9256,74.4146,36.249
2020-08-13,3373.43,11042.5,27896.72,17924.59,12993.71,23249.61,3320.726,153.137,39.9742,97.8274,74.2572,35.9783
2020-08-14,3372.85,11019.3,27931.02,17735.62,12901.34,23289.36,3360.098,153.037,39.9009,97.5667,74.09,35.6784
2020-08-17,3381.99,11129.73,27844.91,17771.88,12920.66,23096.75,3438.801,153.831,40.4065,98.221,74.6267,35.8653
2020-08-18,3389.78,11210.84,27778.07,17623.02,12881.76,23051.08,3451.089,152.363,40.3617,98.3489,74.7083,35.8079
2020-08-19,3374.85,11146.46,27692.88,17583.39,12977.33,23110.61,3408.128,152.373,39.8652,97.8959,74.303,35.7631
2020-08-20,3385.51,11264.95,27739.73,17496.43,12830.0,22880.62,3363.898,151.737,39.739,98.1031,74.3771,35.5566
2020-08-21,3397.16,11311.8,27930.33,17577.68,12764.8,22920.3,3380.682,150.626,39.9376,98.1715,74.4972,35.1915
2020-08-24,3431.28,11379.72,28308.46,17685.07,13066.54,22985.51,3385.638,152.204,40.3798,99.1401,75.2914,35.8926
2020-08-25,3443.62,11466.47,28248.44,17577.89,13061.62,23296.77,3373.578,152.373,40.7847,99.4573,75.588,36.0718
2020-08-26,3478.73,11665.06,28331.92,17753.57,13190.15,23290.86,3329.738,151.41,40.8928,100.359,76.2064,36.361
2020-08-27,3484.55,11625.34,28492.27,17762.03,13096.36,23208.86,3350.112,151.777,40.5512,100.241,75.9765,35.8731
2020-08-28,3508.01,11695.63,28653.87,17788.33,13033.2,22882.65,3403.806,153.067,41.0825,100.835,76.5574,36.1478
2020-08-31,3500.31,11775.46,28430.05,17696.465,12945.38,23139.76,3395.677,151.42,40.1721,100.478,76.0957,35.6589
2020-09-01,3526.65,11939.67,28645.66,17604.6,12974.25,23138.07,3410.606,153.157,40.8571,101.351,76.7516,35.6969
2020-09-02,3580.84,12056.44,29100.5,17704.42,13243.43,23247.15,3404.801,154.356,40.749,102.521,77.6292,36.4176
2020-09-03,3455.06,11458.1,28292.73,17459.69,13057.77,23465.53,3384.98,149.812,39.9742,99.3879,75.2641,35.5751
2020-09-04,3426.96,11313.13,28133.31,17354.28,12842.66,23205.43,3355.366,148.86,39.9908,98.7237,74.8944,35.6131
2020-09-07,3379.4,11080.41,27817.1,17642.2,13100.28,23089.95,3292.59,147.431,39.64365,97.57415,74.0163,35.29905
2020-09-08,3331.84,10847.69,27500.89,17625.18,12968.33,23274.13,3316.417,146.002,39.2965,96.4246,73.1382,34.985
2020-09-09,3398.96,11141.56,27940.47,17594.93,13237.21,23032.54,3254.627,148.195,39.8837,98.1913,74.5705,35.9024
2020-09-10,3339.19,10919.59,27534.58,17573.95,13208.89,23235.47,3234.823,146.28,39.2434,96.7468,73.4715,35.4622
2020-09-11,3340.97,10853.54,27665.64,17555.87,13202.84,23406.49,3260.346,145.297,39.6217,96.9996,73.739,35.7816
2020-09-14,3383.54,11056.65,27993.33,17677.26,13193.66,23559.3,3278.813,149.118,40.2617,98.2894,74.6457,35.8371
2020-09-15,3401.2,11190.32,27995.6,17815.38,13217.67,23454.89,3295.679,149.405,40.6868,98.8823,75.1441,36.0426
2020-09-16,3385.49,11050.47,28032.38,17795.26,13255.37,23475.53,3283.924,150.825,40.6319,98.5541,74.9404,35.7982
2020-09-17,3357.01,10910.28,27901.98,17737.72,13208.12,23319.37,3270.435,149.723,40.4697,97.9553,74.5349,35.9121
2020-09-18,3319.47,10793.28,27657.42,17569.68,13116.25,23360.3,3338.089,149.326,40.1547,97.1166,73.8319,35.5196
2020-09-21,3281.06,10778.8,27147.7,16870.78,12542.44,23355.696666666667,3316.935,144.096,39.7838,95.4977,72.8155,34.2448
2020-09-22,3315.57,10963.64,27288.18,16821.66,12594.39,23351.093333333334,3274.301,145.208,39.4861,96.1421,73.1571,34.1319
2020-09-23,3236.92,10632.99,26763.13,16992.99,12642.97,23346.49,3279.71,140.892,38.8735,94.2297,71.7999,33.5953
2020-09-24,3246.59,10672.27,26815.44,16802.69,12606.57,23087.82,3223.176,140.892,38.693,94.4438,71.8347,33.718
2020-09-25,3298.46,10913.56,27173.96,17044.12,12469.2,23204.62,3219.417,143.184,38.7287,95.6047,72.6211,33.6332
2020-09-28,3351.6,11117.53,27584.06,17370.27,12870.87,23511.62,3217.534,146.707,39.1619,97.1464,73.7754,34.3666
2020-09-29,3335.47,11085.25,27452.66,17173.66,12825.82,23539.1,3224.359,146.051,39.1353,96.8251,73.5164,34.4318
2020-09-30,3363.0,11167.51,27781.7,17315.3,12760.73,23185.12,3218.052,146.488,39.7663,97.1265,73.8506,34.1874
2020-10-01,3380.8,11326.51,27816.9,17383.46,12730.77,23185.12,3225.7697142857146,148.82,40.1363,97.7233,74.4053,34.3199
2020-10-02,3348.42,11075.02,27682.81,17395.81,12689.04,23029.9,3233.4874285714286,149.475,39.6758,97.0095,73.8413,34.2156
2020-10-05,3408.6,11332.49,28148.64,17583.09,12828.31,23312.14,3241.205142857143,153.602,40.2079,98.7534,75.0603,34.8555
2020-10-06,3360.97,11154.6,27772.76,17797.44,12906.02,23433.73,3248.922857142857,153.167,40.28,97.5667,74.2572,34.422
2020-10-07,3419.44,11364.6,28303.46,17801.75,12928.57,23422.82,3256.6405714285715,156.51,40.7225,98.922,75.2735,34.7795
2020-10-08,3446.83,11420.98,28425.51,17946.16,13042.21,23647.07,3264.3582857142856,158.296,41.0549,99.6556,75.8826,35.0609
2020-10-09,3477.14,11579.94,28586.9,18074.42,13051.23,23619.69,3272.076,159.11,41.3351,100.419,76.5292,35.3735
2020-10-12,3534.22,11876.26,28837.52,18167.71,13138.41,23558.69,3358.465,160.171,41.6961,101.688,77.4275,35.6365
2020-10-13,3511.93,11863.9,28679.81,17891.01,13018.99,23601.78,3359.749,159.11,41.5248,101.083,76.9085,35.1272
2020-10-14,3488.67,11768.73,28514.0,17950.41,13028.06,23626.73,3340.778,157.542,41.2444,100.449,76.5386,34.9499
2020-10-15,3483.34,11713.87,28494.2,17838.45,12703.75,23507.23,3332.183,159.15,40.9477,100.042,76.1407,34.3666
2020-10-16,3483.81,11671.56,28606.31,17822.91,12908.99,23410.63,3336.358,158.773,41.0915,100.161,76.1877,34.724
2020-10-19,3426.92,11478.88,28195.42,17866.08,12854.66,23671.13,3312.667,156.877,40.9743,98.9418,75.4396,34.5448
2020-10-20,3443.12,11516.49,28308.79,17929.2,12736.95,23567.04,3328.102,157.215,41.4258,99.3978,75.8,34.8165
2020-10-21,3435.56,11484.69,28210.82,17787.82,12557.64,23639.46,3325.024,155.865,41.5431,98.9913,75.6151,34.3666
2020-10-22,3453.49,11506.01,28363.66,17894.42,12543.06,23474.27,3312.5,158.564,41.534,99.3978,75.8562,34.3471
2020-10-23,3465.39,11548.28,28335.57,18109.57,12645.75,23516.59,3277.997,159.457,41.7774,99.8836,76.1784,34.7143
2020-10-26,3400.97,11358.94,27685.38,17853.3,12177.18,23494.34,3251.118,156.034,41.2363,98.0436,74.8944,33.5671
2020-10-27,3390.68,11431.35,27463.19,17587.71,12063.57,23485.8,3254.315,154.675,41.4166,97.5568,74.6457,32.9827
2020-10-28,3271.03,11004.87,26519.95,17248.91,11560.51,23418.51,3269.238,149.921,40.3798,94.3665,72.2608,31.6096
2020-10-29,3310.11,11185.59,26659.11,17177.68,11598.07,23331.94,3272.727,151.717,40.7847,95.1754,72.8342,31.6952
2020-10-30,3269.96,10911.59,26501.6,17214.38,11556.48,22977.13,3224.532,149.713,40.326,94.2098,72.2043,31.593
2020-11-02,3310.24,10957.61,26925.05,17180.52,11788.28,23295.48,3225.119,152.393,40.8389,95.3123,73.0003,32.1744
2020-11-03,3369.16,11160.57,27480.03,17491.7,12088.98,23495.355,3271.074,156.708,41.0201,97.3526,74.3398,33.2272
2020-11-04,3443.44,11590.78,27847.66,17796.08,12324.22,23695.23,3277.44,156.887,42.3087,99.1797,75.9108,33.643
2020-11-05,3510.45,11890.93,28390.18,17928.53,12568.09,24105.28,3320.133,161.263,43.0313,101.291,77.4537,34.648
